School.Number,School Name,Address,Longitude,Latitude,GradeBand,GradesServed
76,Francis Scott Key Elementary/Middle,"1425 E Fort Ave, Baltimore, MD, 21230",-76.594286,39.269228,EM,PK - 8
81,North Bend Elementary/Middle,"181 N Bend Rd, Baltimore, MD, 21229",-76.705555,39.282682,EM,PK - 8
83,William Paca Elementary,"200 N Lakewood Ave, Baltimore, MD, 21224",-76.579232,39.294524,E,PK - 5
84,Thomas Johnson Elementary/Middle,"100 E Heath St, Baltimore, MD, 21230",-76.611365,39.270729,EM,PK - 8
85,Fort Worthington Elementary,"2701 E Oliver St, Baltimore, MD, 21213",-76.579992,39.307882,E,1 - 5
86,Lakewood Elementary,"2625 E Federal St, Baltimore, MD, 21213",-76.581269,39.308965,E,PK - K
87,Windsor Hills Elementary/Middle,"4001 Alto Rd, Baltimore, MD, 21216",-76.682655,39.317147,EM,PK - 8
88,Lyndhurst Elementary,"621 Wildwood Pky, Baltimore, MD, 21229",-76.683738,39.294094,E,PK - 5
89,Rognel Heights Elementary/Middle,"4300 Sidehill Rd, Baltimore, MD, 21229",-76.691503,39.298411,EM,PK - 8
95,Franklin Square Elementary/Middle,"1400 W Lexington St, Baltimore, MD, 21223",-76.639757,39.290866,EM,PK - 8
97,Collington Square Elementary/Middle,"1409 N Collington Ave, Baltimore, MD, 21213",-76.587199,39.307266,EM,PK - 8
98,Samuel F. B. Morse Elementary,"424 S Pulaski St, Baltimore, MD, 21223",-76.649887,39.282532,E,PK - 5
105,Moravia Park Elementary,"6201 Frankford Ave, Baltimore, MD, 21206",-76.551916,39.338533,E,PK - 5
107,Gilmor Elementary,"1311 N Gilmor St, Baltimore, MD, 21217",-76.643309,39.30335,E,PK - 5
122,The Historic Samuel Coleridge-Taylor Elementary,"507 W Preston St, Baltimore, MD, 21201",-76.624404,39.300581,E,PK - 5
124,Bay-Brook Elementary/Middle,"4301 10th St, Brooklyn, MD, 21225",-76.599732,39.226577,EM,PK - 8
125,Furman Templeton Preparatory Academy,"1200 Pennsylvania Ave, Baltimore, MD, 21217",-76.629936,39.299376,E,PK - 5
130,Booker T. Washington Middle,"1301 McCulloh St, Baltimore, MD, 21217",-76.627915,39.302488,M,6 - 8
134,Walter P. Carter Elementary/Middle,"820 E 43rd St, Baltimore, MD, 21212",-76.604436,39.342598,EM,PK - 8
142,Robert W. Coleman Elementary,"2400 Windsor Ave, Baltimore, MD, 21216",-76.655833,39.312214,E,PK - 5
144,James Mosher Elementary,"2400 W Mosher St, Baltimore, MD, 21216",-76.655213,39.299802,E,PK - 5
145,Alexander Hamilton Elementary,"800 Poplar Grove St, Baltimore, MD, 21216",-76.665246,39.297373,E,PK - 5
150,Mary Ann Winterling Elementary at Bentalou,"220 N Bentalou St, Baltimore, MD, 21223",-76.653209,39.291097,E,PK - 5
159,Cherry Hill Elementary/Middle,"801 Bridgeview Rd, Brooklyn, MD, 21225",-76.623433,39.248379,EM,PK - 8
160,Dr. Carter Godwin Woodson Elementary/Middle,"2501 Seabury Rd, Brooklyn, MD, 21225",-76.622824,39.252035,EM,PK - 8
164,Arundel Elementary/Middle,"2400 Round Rd, Brooklyn, MD, 21225",-76.626534,39.252659,EM,PK - 8
177,George W. F. McMechen High,"4411 Garrison Blvd, Baltimore, MD, 21215",-76.6848,39.33673,H,9 - 12
178,Excel Academy at Francis M. Wood High,"1001 W Saratoga St, Baltimore, MD, 21223",-76.634101,39.292375,H,6-12
201,Dickey Hill Elementary/Middle,"5025 Dickey Hill Rd, Gwynn Oak, MD, 21207",-76.703476,39.31159,EM,PK - 8
203,Maree G. Farring Elementary/Middle,"300 Pontiac Ave, Brooklyn, MD, 21225",-76.60756,39.236661,EM,PK - 8
204,Mary E. Rodman Elementary,"3510 W Mulberry St, Baltimore, MD, 21229",-76.675792,39.292167,E,PK - 5
205,Woodhome Elementary/Middle,"7300 Moyer Ave, Parkville, MD, 21234",-76.54058,39.366301,EM,PK - 8
206,Furley Elementary,"4633 Furley Ave, Baltimore, MD, 21206",-76.553815,39.329705,E,K - 5
207,Curtis Bay Elementary/Middle,"4301 W Bay Ave, Brooklyn, MD, 21225",-76.593476,39.224892,EM,PK - 8
210,Hazelwood Elementary/Middle,"4517 Hazelwood Ave, Baltimore, MD, 21206",-76.54106,39.339302,EM,K - 8
211,Gardenville Elementary,"5300 Belair Rd, Baltimore, MD, 21206",-76.552476,39.337738,E,K - 5
212,Garrett Heights Elementary/Middle,"2800 Ailsa Ave, Baltimore, MD, 21214",-76.570518,39.34948,EM,PK - 8
213,Govans Elementary,"5801 York Rd, Baltimore, MD, 21212",-76.609766,39.360422,E,PK - 5
214,Guilford Elementary/Middle,"4520 York Rd, Baltimore, MD, 21212",-76.609616,39.34411,EM,PK - 8
215,Highlandtown Elementary/Middle #215,"3223 E Pratt St, Baltimore, MD, 21224",-76.570788,39.290225,EM,PK - 8
217,Belmont Elementary,"1406 N Ellamont St, Baltimore, MD, 21216",-76.670771,39.304036,E,PK - 5
219,Yorkwood Elementary,"5931 Yorkwood Rd, Baltimore, MD, 21239",-76.584036,39.362865,E,PK - 5
220,Morrell Park Elementary/Middle,"2601 Tolley St, Baltimore, MD, 21230",-76.65135,39.2641,EM,PK - 8
221,The Mount Washington School,"1801 Sulgrave Ave, Baltimore, MD, 21209",-76.65404,39.365863,EM,K - 8
223,Pimlico Elementary/Middle,"4849 Pimlico Rd, Baltimore, MD, 21215",-76.668989,39.348233,EM,PK - 8
224,Grove Park Elementary/Middle,"5545 Kennison Ave, Baltimore, MD, 21215",-76.699725,39.342484,EM,PK - 8
225,Westport Academy,"2401 Nevada St, Baltimore, MD, 21230",-76.638091,39.263008,EM,PK - 8
